variable,label,record_type,group,group_label,url,description,n_countries,n_samples
ABROADCHD,Number of children living abroad,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/ABROADCHD,"ABROADCHD indicates the number of a woman's biological children who are living abroad, regardless of gender.",7,9
ABROADFEM,Number of own female children living abroad,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/ABROADFEM,ABROADFEM indicates the number of a woman's biological female children who are living abroad.,5,6
ABROADMALE,Number of own male children living abroad,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/ABROADMALE,ABROADMALE indicates the number of a woman's biological male children who are living abroad.,5,6
ABSWRK,Reason absent from work,P,work,Work,https://international.ipums.org/international-action/variables/ABSWRK,ABSWRK indicates the reason the respondent cited for having a job but being absent from work.,5,142
AGE,Age,P,core,Demographic,https://international.ipums.org/international-action/variables/AGE,AGE gives age in years as of the person's last birthday prior to or on the day of enumeration.,104,655
AGE2,"Age, grouped into intervals",P,core,Demographic,https://international.ipums.org/international-action/variables/AGE2,AGE2 gives computed years of age grouped into intervals.,99,606
AGE3,"Age, intervalled, United Kingdom",P,core,Demographic,https://international.ipums.org/international-action/variables/AGE3,AGE3 gives years of age grouped into the intervals used in the 2001 United Kingdom sample. The data are coded to the first age value of the interval. Single years of age are given below age 16 and above age 74.,1,2
AGEDEADDAY,"Last child's age at death, days",P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AGEDEADDAY,"AGEDEADDAY indicates the age at death, in days, of the last child born to a woman. The variable is not applicable if that child was still living.",1,3
AGEDEADMO,"Last child's age at death, months",P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AGEDEADMO,"AGEDEADMO indicates the age at death, in months, of the last child born to a woman. The variable is not applicable if that child was still living.",2,5
AGEDEADYR,"Last child's age at death, years",P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AGEDEADYR,"AGEDEADYR indicates the age at death, in years, of the last child born to a woman. The variable is not applicable if that child was still living.",2,4
AGEMARR,Age at first marriage or union,P,core,Demographic,https://international.ipums.org/international-action/variables/AGEMARR,AGEMARR indicates the person's age at first marriage or consensual union.,29,49
AGESTRUCT1,Age of structure,H,h-dwell,Dwelling Characteristics,https://international.ipums.org/international-action/variables/AGESTRUCT1,AGESTRUCT1 reports the estimated age of the structure in which the household resided.,14,23
AGESTRUCT2,"Age of structure, coded from intervals",H,h-dwell,Dwelling Characteristics,https://international.ipums.org/international-action/variables/AGESTRUCT2,AGESTRUCT2 gives the estimated age of the structure.,38,97
AIRCON,Air conditioning,H,h-app,"Appliances, Mechanicals, Other Amenities",https://international.ipums.org/international-action/variables/AIRCON,This variable indicates whether the household had air conditioning.,32,56
ANCEST,"Ancestry, U.S. and Puerto Rico",P,ethnic,Ethnicity and Language,https://international.ipums.org/international-action/variables/ANCEST,ANCEST identifies the person's self-reported ancestry or ethnic origin in the United States and Puerto Rico.,2,12
ANYMORT,Any deaths in household last year,H,h-other,Other Household,https://international.ipums.org/international-action/variables/ANYMORT,ANYMORT indicates whether there were any deaths in the household in the past year.,45,95
AREAMOLLWGEO1,Area of GEOLEV1 unit in square kilometers,H,h-geog,Geography: Global,https://international.ipums.org/international-action/variables/AREAMOLLWGEO1,AREAMOLLWGEO1 indicates the area in square kilometers of the major administrative unit in which the household was enumerated. The major administrative unit of the household is identified by the GEOLEV1 variable. The area of units in GEOLEV1 is calculated using Mollweide's equal area projection. For a full set of geography variables refer to IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 and GEOLEV2 . More information on IPUMS-International geography can be found here .,97,574
AREAMOLLWGEO2,Area of GEOLEV2 unit in square kilometers,H,h-geog,Geography: Global,https://international.ipums.org/international-action/variables/AREAMOLLWGEO2,AREAMOLLWGEO2 indicates the area in square kilometers of the second major administrative unit in which the household was enumerated. The second major administrative unit of the household is identified by the GEOLEV2 variable. The area of units in GEOLEV2 is calculated using Mollweide's equal area projection. For a full set of geography variables refer to IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 and GEOLEV2 . More information on IPUMS-International geography can be found here .,78,378
ARRNDCM,"Cameroon, Arrondissement",H,h-geog1,Geography: A-E,https://international.ipums.org/international-action/variables/ARRNDCM,"ARRNDCM identifies the household's arrondissement (subdivision) within Cameroon in all sample years. Arrondissements are the third level administrative units of the country, after department. ARRNDCM is harmonized by name and does not account for boundary changes over time. The full set of geography variables for Cameroon can be found in the IPUMS International Geography variables list. For cross-national geographic analysis on the first and second major administrative level refer to GEOLEV1 and GEOLEV2 . More information on IPUMS-International geography can be found here .",1,3
AUTOS,Automobiles available,H,h-app,"Appliances, Mechanicals, Other Amenities",https://international.ipums.org/international-action/variables/AUTOS,"AUTOS records whether a member of the household owned or had use of a vehicle and, in many samples, the number of such vehicles.",61,143
AWAYCHILD,Number of own children living elsewhere,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AWAYCHILD,AWAYCHILD indicates the number of surviving biological children not living in the household with their mother (the respondent) at the time of the census.,29,62
AWAYFEM,Number of own female children living elsewhere,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AWAYFEM,AWAYFEM indicates the number of surviving biological female children not living in the household with their mother (the respondent).,22,44
AWAYMALE,Number of own male children living elsewhere,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/AWAYMALE,AWAYMALE indicates the number of surviving biological male children not living in the household with their mother (the respondent).,22,44
BATH,Bathing facilities,H,h-dwell,Dwelling Characteristics,https://international.ipums.org/international-action/variables/BATH,"BATH indicates whether the household had access to bathing facilities and, in most cases, whether it had exclusive access.",51,126
BATHROOMS,Number of bathrooms,H,h-dwell,Dwelling Characteristics,https://international.ipums.org/international-action/variables/BATHROOMS,BATHROOMS indicates the number of bathrooms in the dwelling available for use by the household.,9,17
BEDROOMS,Number of bedrooms,H,h-dwell,Dwelling Characteristics,https://international.ipums.org/international-action/variables/BEDROOMS,BEDROOMS indicates the number of rooms available to members of the household for sleeping.,44,114
BIKE,Bicycles available,H,h-app,"Appliances, Mechanicals, Other Amenities",https://international.ipums.org/international-action/variables/BIKE,"BIKE records whether a member of the household owned or had access to a bicycle and, in some samples, the number of bicycles.",35,62
BIRTHMO,Month of birth,P,core,Demographic,https://international.ipums.org/international-action/variables/BIRTHMO,BIRTHMO indicates the person's month of birth.,48,161
BIRTHSLYR,Number of births last year,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/BIRTHSLYR,BIRTHSLYR indicates whether any -- and in most cases how many -- children were born to a woman in the past twelve months.,47,107
BIRTHSURV,Children surviving from births last year,P,fert,Fertility and Mortality,https://international.ipums.org/international-action/variables/BIRTHSURV,BIRTHSURV indicates the number of children born in the past twelve months who were still living at the time of the census.,25,42
BIRTHYR,Year of birth,P,core,Demographic,https://international.ipums.org/international-action/variables/BIRTHYR,BIRTHYR gives the person's year of birth.,58,217
BOAT,Boats available,H,h-app,"Appliances, Mechanicals, Other Amenities",https://international.ipums.org/international-action/variables/BOAT,"BOAT records whether a member of the household owned or had use of a boat and, in many samples, the number of such boats.",26,38
BPL1ALT_BF,"Region of birth, Burkina Faso 1985 [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1ALT_BF,BPL1ALT_BF indicates the person's region of birth in Burkina Faso in 1985. Birthplace region codes from BPL1ALT_BF are compatible with codes from GEO1_BF1985 . Refer to BPL2_BF and BPL2ALT_BF for a person's province of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
BPL1ALT_CL,"Province of birth, Chile, 1960-1970;  [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1ALT_CL,BPL1ALT_CL indicates the province within Chile in which the person was born. The 1960 and 1970 samples are coded into the pre-1974 geographic system of provinces GEO1ALT_CL . See BPL1_CL for a comparable variable using the modern province classification for the 1982-2002 samples. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL1_AM,"Province of birth, Armenia; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_AM,BPL1_AM indicates the person's province of birth in Armenia. Birthplace province codes from BPL1_AM are compatible with codes from GEO1_AM . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL1_AR,"Province of birth, Argentina; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_AR,BPL1_AR indicates the person's province of birth within Argentina. Birthplace province codes from BPL1_AR are compatible with codes from GEO1_AR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL1_BF,"Region of birth, Burkina Faso; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_BF,BPL1_BF indicates the person's region of birth in Burkina Faso for the 1996 and 2006 samples. Birthplace region codes from BPL1_BF are compatible with codes from GEO1_BF . Refer to BPL2_BF and BPL2ALT_BF for a person's province of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL1_BJ,"Department of birth, Benin; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_BJ,BPL1_BJ indicates the person's department of birth within Benin. Birthplace department codes from BPL1_BJ are compatible with codes from GEO1_BJ . Refer to BPL2_BJ for a person's commune of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL1_BO,"Department of birth, Bolivia; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_BO,BPL1_BO indicates the person's department of birth in Bolivia. Birthplace department codes from BPL1_BO are compatible with codes from GEO1_BO . Refer to BPL2_BO for a person's province of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL1_BR,"State of birth, Brazil; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_BR,BPL1_BR indicates the person's state of birth within Brazil. Birthplace state codes from BPL1_BR are compatible with codes from GEO1_BR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,6
BPL1_BW,"District of birth, Botswana; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_BW,BPL1_BW indicates the district of birth in Botswana. Birthplace district codes from BPL1_BW are compatible with codes from GEO1_BW . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL1_BY,"Region of birth, Belarus; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_BY,BPL1_BY indicates the person's region of birth within Belarus. Birthplace region codes from BPL1_BY are compatible with codes from GEO1_BY . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
BPL1_CI,"Region of birth, Côte d'Ivoire; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_CI,BPL1_CI indicates the person's region of birth in CÃ´te d'Ivoire. Birthplace region codes from BPL1_CI are compatible with codes from GEO1_CI . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL1_CL,"Province of birth, Chile, 1982-2017;  [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_CL,BPL1_CL indicates the person's province of birth in Chile. The data for 1982-2017 are coded into the modern geographic classification of provinces. Birthplace province codes for BPL1_CL are compatible with codes for GEO1_CL . See BPL1ALT_CL for a comparable variable that codes the 1960 and 1970 samples into the pre-1974 geographic classification of provinces GEO1ALT_CL . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL1_CM,"Province of birth, Cameroon; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_CM,BPL1_CM indicates the person's province of birth within Cameroon. Birthplace province codes for BPL1_CM are compatible with codes for GEO1_CM . Refer to BPL2_CM for a person's department of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
BPL1_CN,"Province of birth, China; [Level 1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_CN,BPL1_CN indicates the person's province of birth in China. Birthplace province codes for BPL1_CN are compatible with codes for GEO1_CN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
BPL1_CR,"Province of birth, Costa Rica; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_CR,BPL1_CR indicates the person's province of birth in Costa Rica. Birthplace province codes from BPL1_CR are compatible with codes from GEO1_CR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
BPL1_CU,"Province of birth, Cuba; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_CU,BPL1_CU indicates the person's province of birth within Cuba. Birthplace province codes in BPL1_CU are compatible with codes in GEO1_CU . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL1_EC,"Province of birth, Ecuador; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_EC,BPL1_EC indicates the person's province of birth in Ecuador. Birthplace province codes from BPL1_EC are compatible with codes from GEO1_EC . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,6
BPL1_HN,"Department of birth, Honduras; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_HN,BPL1_HN indicates the person's department of birth within Honduras. Birthplace department codes from BPL1_HN are compatible with codes from GEO1_HN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
BPL1_KE,"Province of birth, Kenya; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_KE,BPL1_KE indicates the person's province of birth within Kenya. Birthplace province codes from BPL1_KE are compatible with codes from GEO1_KE . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,6
BPL1_KH,"Province of birth, Cambodia; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_KH,BPL1_KH indicates the person's province of birth within Cambodia. Birthplace province codes for BPL1_KH are compatible with codes for GEO1_KH . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
BPL1_MN,"Province of birth, Mongolia; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_MN,BPL1_MN indicates the person's province (aimag) of birth within Mongolia. Birthplace province codes in BPL1_MN are compatible with codes in GEO1_MN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL1_MW,"District of birth, Malawi; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_MW,BPL1_MW indicates the person's district of birth within Malawi. Birthplace district codes from BPL1_MW are compatible with codes from GEO1_MW . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
BPL1_MZ,"Province of birth, Mozambique; [Level1: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL1_MZ,BPL1_MZ indicates the person's province of birth in Mozambique. Birthplace province codes from BPL1_MZ are compatible with codes from GEO1_MZ . Refer to BPL2_MZ for a person's district of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
BPL2ALT_BF,"Region of birth, Burkina Faso 1985; [Level 2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2ALT_BF,BPL2ALT_BF identifies the person's province of birth in Burkina Faso in 1985. Birthplace province codes from BPL2ALT_BF are compatible with codes from GEO2_BF1985 . Refer to BPL1_BF and BPL1ALT_BF for a person's region of birth. Click on the Source Variables tab for information on place of birth for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
BPL2_BF,"Province of birth, Burkina Faso; [Level 2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_BF,BPL2_BF indicates the person's province of birth in Burkina Faso for the 1996 and 2006 samples. Birthplace province codes from BPL2_BF are compatible with codes from GEO2_BF . Refer to BPL1_BF and BPL1ALT_BF for a person's region of birth. Click on the Source Variables tab for information on place of birth for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL2_BJ,"Commune of birth, Benin  [Level 2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_BJ,BPL2_BJ indicates the person's commune of birth within Benin. Birthplace commune codes from BPL2_BJ are compatible with codes from GEO2_BJ . Refer to BPL1_BJ for a person's department of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL2_BO,"Province of birth, Bolivia; [Level 2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_BO,BPL2_BO indicates the person's province of birth in Bolivia. Birthplace province codes from BPL2_BO are compatible with codes from GEO2_BO . Refer to BPL1_BO for a person's department of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL2_CI,"Department of birth, Côte d'Ivoire; [Level 2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_CI,BPL2_CI indicates the person's department of birth in CÃ´te d'Ivoire. Birthplace department codes from BPL2_CI are compatible with codes from GEO2_CI . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL2_CL,"Commune of birth, Chile, 1982-2017; [Level 2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_CL,BPL2_CL indicates the person's municipality of birth in Chile. The data for 1982-2017 are coded into the modern geographic classification of provinces. Birthplace municipality codes for BPL2_CL are compatible with codes for GEO2_CL . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL2_CM,"Department of birth, Cameroon; [Level 2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_CM,BPL2_CM indicates the person's department of birth within Cameroon. Birthplace department codes for BPL2_CM are compatible with codes for GEO2_CM . Refer to BPL1_CM for a person's province of birth. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
BPL2_CR,"Canton of birth, Costa Rica; [Level2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_CR,BPL2_CR indicates the person's canton of birth in Costa Rica. Birthplace canton codes from BPL2_CR are compatible with codes from GEO2_CR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
BPL2_CU,"Municipality of birth, Cuba; [Level 2; consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_CU,BPL2_CU indicates the person's municipality of birth within Cuba. Birthplace municipality codes in BPL2_CU are compatible with codes in GEO2_CU . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
BPL2_EC,"Canton of birth, Ecuador; [Level 2; consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_EC,BPL2_EC indicates the person's canton of birth in Ecuador. Birthplace canton codes from BPL2_EC are compatible with codes from GEO2_EC . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
BPL2_HN,"Municipality of birth, Honduras; [Level 2; consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_HN,BPL2_HN indicates the person's municipality of birth within Honduras. Birthplace municipality codes from BPL2_HN are compatible with codes from GEO2_HN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
BPL2_KE,"District of birth, Kenya; [Level 2; consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_KE,BPL2_KE indicates the person's district of birth within Kenya. Birthplace district codes from BPL2_KE are compatible with codes from GEO2_KE . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,6
BPL2_KH,"District of birth, Cambodia; [Level 2; consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_KH,BPL2_KH indicates the person's district of birth within Cambodia. Birthplace district codes for BPL2_KH are compatible with codes for GEO2_KH . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
BPL2_MW,"Traditional Authority of birth, Malawi; [Level2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_MW,BPL2_MW indicates the person's traditional authority (TA) of birth in Malawi. Birthplace department codes from BPL2_MW are compatible with codes from GEO2_MW . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
BPL2_MZ,"District of birth, Mozambique; [Level2: consistent boundaries, GIS]",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPL2_MZ,BPL2_MZ indicates the person's district of birth within Mozambique. Birthplace district codes in BPL2_MZ are compatible with codes in GEO2_MZ . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
BPLCA1,"Province of birth, Canada",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCA1,BPLCA1 indicates the person's place of birth at the province level for Canada.,1,11
BPLCH,"Canton of birth, Switzerland",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCH,BPLCH indicates the canton in Switzerland in which the person was born.,1,1
BPLCH2,"Development region of birth, Switzerland",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCH2,BPLCH2 indicates the regional planning unit in Switzerland in which the person was born.,1,1
BPLCM,"Arrondissement of birth, Cameroon",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCM,BPLCM indicates the district in Cameroon in which the person was born.,1,3
BPLCO1,"Department of birth, Colombia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCO1,BPLCO1 indicates the person's department of birth within Colombia.,1,5
BPLCO2,"Municipality of birth recode, Colombia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCO2,"BPLCO2 indicates the person's recoded municipality of birth within Colombia. The geographic units identified in BPLCO2 are combinations of municipalities totaling 20,000 or more population in 1993 (see MUNICO ).",1,3
BPLCO3,"Born in this municipality, Colombia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCO3,"BPLCO3 indicates whether the person was born in a different municipality in which they were enumerated in the census, and if so, whether they were born in a different department.",1,5
BPLCOUNTRY,Country of birth,P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLCOUNTRY,BPLCOUNTRY indicates the person's country of birth.,82,422
BPLDO,"Municipality of birth, Dominican Republic",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLDO,"BPLDO indicates the person's municipality of birth within Dominican Republic. BPLDO is harmonized by name, not by boundary changes.",1,3
BPLEG,"Governorate of birth, Egypt",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLEG,BPLEG indicates the person's governorate of birth within Egypt.,1,3
BPLEG3,"District of birth, Egypt",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLEG3,BPLEG3 indicates the person's district of birth within Egypt.,1,3
BPLES,"Province of birth, Spain",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLES,BPLES indicates the province in Spain in which the person was born.,1,68
BPLET1,"Region of birth, Ethiopia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLET1,BPLET1 indicates the region in Ethiopia in which the person was born.,1,1
BPLET2,"Awraja of birth, Ethiopia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLET2,BPLET2 indicates the awraja in Ethiopia in which the person was born.,1,1
BPLFJ,"Province of birth, Fiji",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLFJ,BPLFJ indicates the province in Fiji in which the person was born.,1,5
BPLFR,"Region of birth, France",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLFR,BPLFR indicates the person's region of birth within France.,1,6
BPLGH,"Region of birth, Ghana",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLGH,BPLGH indicates the person's region of birth within Ghana.,1,3
BPLGN,"Prefecture of birth, Guinea",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLGN,BPLGN indicates the person's prefecture of birth within Guinea.,1,3
BPLGT,"Department of birth, Guatemala",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLGT,BPLGT indicates the Department in Guatemala in which the person was born.,1,5
BPLGT2,"Municipality of birth, Guatemala",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLGT2,BPLGT2 indicates the Municipality in Guatemala in which the person was born.,1,4
BPLHT,"Arrondissement of birth, Haiti",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLHT,BPLHT indicates the arrondissement in Haiti in which the person was born.,1,3
BPLHU,"Region of birth, Hungary",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLHU,BPLHU indicates the person's place of birth at the region level for Hungary.,1,1
BPLID,"Province of birth, Indonesia",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLID,BPLID indicates the person's province of birth within Indonesia.,1,9
BPLIE,"Region of birth, Ireland",P,nativ,Nativity and Birthplace,https://international.ipums.org/international-action/variables/BPLIE,"BPLIE indicates the person's region of birth within Ireland. BPLIE is harmonized by name, not by boundary changes.",1,11
